Источник	Полное описание	Ссылка	Категория	Units	Комментарий
rab_sila_2002	Экономическая активность населения России (по результатам выборочных обследований), 2002: Стат.сб./Госкомстат России. - M., 2002. - 190 c.	https://web.archive.org/web/20241218191650/https://rosstat.gov.ru/storage/mediabank/aktiv.arj	статистический сборник	тыс. человек	
rab_sila_2006	Экономическая активность населения России (по результатам выборочных обследований), 2006: Стат.сб./Росстат. - M., 2006. 205 c.	https://web.archive.org/web/20241218191650/https://rosstat.gov.ru/storage/mediabank/aktivn.zip	статистический сборник	тыс. человек	
rab_sila_2008	Экономическая активность населения России: (По результатам выбороч. обследований). 2008: Стат. сб / Федер. служба гос. статистики (Росстат). - Москва : Федеральная служба государственной статистики, 2008. - 165 с.	https://web.archive.org/web/20241218191650/https://rosstat.gov.ru/storage/mediabank/aktivn(2).zip	статистический сборник	тыс. человек	
rab_sila_2010	Экономическая активность населения России: (По результатам выбороч. обследований). 2010: Стат. сб / Федер. служба гос. статистики (Росстат). - Москва: Федеральная служба государственной статистики, 2010. - 171 с.	https://web.archive.org/web/20241218191650/https://rosstat.gov.ru/storage/mediabank/aktivn(2).zip	статистический сборник	тыс. человек	"В сборнике допущена опечатка в разделе, касающемся занятых ""в неформальном секторе и вне его""."
rab_sila_2013	Экономическая активность населения России: (По результатам выбороч. обследований). 2012: Стат. сб. 2012 / Федер. служба гос. статистики (Росстат). - Москва: Федеральная служба государственной статистики, 2013. - 191 с.	https://web.archive.org/web/20241218191650/https://rosstat.gov.ru/storage/mediabank/activn12.rar	статистический сборник	тыс. человек	
rab_sila_2014	Экономическая активность населения России: (По результатам выбороч. обследований). 2014: Стат.сб./Росстат. - M., 2014. - 143 c.	https://web.archive.org/web/20241218191650/https://rosstat.gov.ru/storage/mediabank/activn14.rar	статистический сборник	тыс. человек	
rab_sila_2016	Рабочая сила, занятость и безработица в России (по результатам выборочных обследований рабочей силы). 2016: Стат.сб./Росстат. - M., 2016. - 146 c.	https://web.archive.org/web/20241218191650/https://rosstat.gov.ru/storage/mediabank/rab-sila2016.rar	статистический сборник	тыс. человек	
rab_sila_2018	Рабочая сила, занятость и безработица в России (по результатам выборочных обследований рабочей силы). 2018: Стат.сб./Росстат. - M., 2018. - 142 c.	https://web.archive.org/web/20241218191650/https://rosstat.gov.ru/storage/mediabank/rab-sila18-pril.rar	статистический сборник	тыс. человек	
rab_sila_2020	Рабочая сила, занятость и безработица в России (по результатам выборочных обследований рабочей силы). 2020: Стат.сб./Росстат. - M., 2020. - 145 c.	https://web.archive.org/web/20241218191650/https://rosstat.gov.ru/storage/mediabank/VcGtkrnn/rab-sila20.rar	статистический сборник	тыс. человек	
rab_sila_2022	Рабочая сила, занятость и безработица в России (по результатам выборочных обследований рабочей силы). 2022: Стат.сб./Росстат. - M., 2022. - 151 c.	https://web.archive.org/web/20241218191650/https://rosstat.gov.ru/storage/mediabank/Raboch_sila_2022.rar	статистический сборник	тыс. человек	
rab_sila_2024	Рабочая сила, занятость и безработица в России (по результатам выборочных обследований рабочей силы). 2024 Стат.сб./Росстат. - M., 2024. - 152 c.	https://web.archive.org/web/20241218191650/https://rosstat.gov.ru/storage/mediabank/Raboch_sila_2024.rar	статистический сборник	тыс. человек	
ors_old_2010_2016	Микроданные выборочного обследования рабочей силы за 2010-2016 гг. (редакция до 06.09.2024)	https://web.archive.org/web/20240521062941/https://rosstat.gov.ru/free_doc/new_site/population/trud/bd_ors/bd_ors.sav	микроданные	тыс. человек	
ors_old_2017_2019	Микроданные выборочного обследования рабочей силы за 2017-2019 гг.(редакция до 06.09.2024)	https://web.archive.org/web/20240726131255/https://rosstat.gov.ru/storage/mediabank/bd_ors-pok_2017-2019.rar 	микроданные	тыс. человек	
ors_old_2020_2021	Микроданные выборочного обследования рабочей силы за 2020-2021 гг.(редакция до 06.09.2024)	https://web.archive.org/web/20240726131255/https://rosstat.gov.ru/storage/mediabank/bd_ors-pok_2020-2021.rar	микроданные	тыс. человек	
ors_old_2022	Микроданные выборочного обследования рабочей силы за 2022 гг.(редакция до 06.09.2024)	https://web.archive.org/web/20230418215624/https://rosstat.gov.ru/storage/mediabank/bd_ors-2022-%D1%81%D0%B0%D0%B9%D1%82.rar	микроданные	тыс. человек	
ors_old_2023	Микроданные выборочного обследования рабочей силы за 2023 гг.(редакция до 06.09.2024)	см. архивный файл миркроданных bd_ors-2023.rar	микроданные	тыс. человек	Файл не был сохранён в Internet Archive. Результаты ОРС опубликованы в бюллетене «Итоги выборочного обследования рабочей силы за 2022 год» и сборнике «Труд и занятость в России. 2023». Набор микроданных включает переменные, отличающиеся от нового файла.
ors_new_2010_2012	Микроданные выборочного обследования рабочей силы за 2010-2012 гг.	https://web.archive.org/web/20241202182519/https://rosstat.gov.ru/storage/mediabank/bd_ors_2010-2012.rar	микроданные	тыс. человек	
ors_new_2013_2015	Микроданные выборочного обследования рабочей силы за 2013-2015 гг.	https://web.archive.org/web/20241202151321/https://rosstat.gov.ru/storage/mediabank/bd_ors_2013-2015.rar	микроданные	тыс. человек	
ors_new_2016	Микроданные выборочного обследования рабочей силы за 2016 г.	https://web.archive.org/web/20241202182344/https://rosstat.gov.ru/storage/mediabank/bd_ors_2016.rar	микроданные	тыс. человек	
ors_new_2017_2019	Микроданные выборочного обследования рабочей силы за 2017-2019 гг.	https://web.archive.org/web/20241202151128/https://rosstat.gov.ru/storage/mediabank/bd_ors_2017-2019.rar	микроданные	тыс. человек	
ors_new_2020_2021	Микроданные выборочного обследования рабочей силы за 2020-2021 гг.	https://web.archive.org/web/20241202182307/https://rosstat.gov.ru/storage/mediabank/bd_ors_2020-2021.rar	микроданные	тыс. человек	
ors_new_2022	Микроданные выборочного обследования рабочей силы за 2022 г.	https://web.archive.org/web/20241202182249/https://rosstat.gov.ru/storage/mediabank/bd_ors_2022.rar	микроданные	тыс. человек	
ors_new_2023	Микроданные выборочного обследования рабочей силы за 2023 гг.	https://web.archive.org/web/20241202182133/https://rosstat.gov.ru/storage/mediabank/bd_ors_2023.rar	микроданные	тыс. человек	
RUS_1998	Россия в цифрах: Крат.стат.сб./Госкомстат России - M .: 1998. - 427 c.		статистический сборник	млрд. руб.	
RUS_2000	Россия в цифрах: Крат.стат.сб./Госкомстат России. - М., 2000. - 396 с.		статистический сборник	"млрд. руб.;трлн. руб."	
RUS_2001	Россия в цифрах: Крат.стат.сб./Госкомстат России. - M., 2001. - 397 c.		статистический сборник	"млрд. руб.;трлн. руб."	
RUS_2002	Россия в цифрах, 2002: Крат.стат.сб./Госкомстат России. - М., 2002. - 398 с.		статистический сборник	"млрд. руб.;трлн. руб."	
RUS_2003	Россия в цифрах. 2003: Крат.стат.сб./Госкомстат России. - M., 2003. - 398 с.	https://web.archive.org/web/20241127190841/https://rosstat.gov.ru/storage/mediabank/RUS03.ZIP	статистический сборник	"млрд. руб.;трлн. руб."	
RUS_2004	Россия в цифрах. 2004: Крат.стат.сб./Федеральная служба государственной статистики. - M., 2004. - 431 с.	https://web.archive.org/web/20241127190841/https://rosstat.gov.ru/storage/mediabank/RUS04.ZIP	статистический сборник	"млрд. руб.;трлн. руб."	
RUS_2005	Россия в цифрах. 2005: Крат.стат.сб./Росстат- M.,2005. - 477 с. 	https://web.archive.org/web/20241127190841/https://rosstat.gov.ru/storage/mediabank/rus05.zip	статистический сборник	"млрд. руб.;трлн. руб."	
RUS_2006	Россия в цифрах. 2006: Крат.стат.сб./Росстат- M.,2006. - 462 с. 	https://web.archive.org/web/20241127190841/https://rosstat.gov.ru/storage/mediabank/rus06.zip	статистический сборник	"млрд. руб.;трлн. руб."	
RUS_2007	Россия в цифрах. 2007: Крат.стат.сб./Росстат- M.,2007. - 494 с. 	https://web.archive.org/web/20241127190841/https://rosstat.gov.ru/storage/mediabank/rus07.zip	статистический сборник	"млрд. руб.;трлн. руб."	
RUS_2008	Россия в цифрах. 2008: Крат.стат.сб./Росстат- M.,2008. - 510 с. 	https://web.archive.org/web/20241127190841/https://rosstat.gov.ru/storage/mediabank/rus08.zip	статистический сборник	"млрд. руб.;трлн. руб."	
RUS_2009	Россия в цифрах. 2009: Крат.стат.сб./Росстат- M.,2009. - 525 с. 	https://web.archive.org/web/20241127190841/https://rosstat.gov.ru/storage/mediabank/rus09.zip	статистический сборник	"млрд. руб.;трлн. руб."	
RUS_2010	Россия в цифрах. 2010: Крат.стат.сб./Росстат- M.,2010. - 558 с.	https://web.archive.org/web/20241127190841/https://rosstat.gov.ru/storage/mediabank/rus10.rar	статистический сборник	"млрд. руб.;трлн. руб."	
