Year;Quarter;Занятые;Безработные;Общее количество занятых в неформальном секторе;только в неформальном секторе;в неформальном и формальном секторах;с основной работой в неформальном секторе;с дополнительной работой в неформальном секторе;Занятые в неформальном секторе в % к общей численности занятых;Общая численность наёмных работников;работали на основе трудового договора (служебного контракта) в письменной форме ;работали на основе трудового договора (служебного контракта) в письменной форме постоянного ;работали на основе трудового договора (служебного контракта) в письменной форме временного или краткосрочного ;работали на основе устной договоренности с работодателем, без оформления документов;работали на основе устной договоренности с работодателем, без оформления документов на постоянной основе;работали на основе устной договоренности с работодателем, без оформления документов на постоянной основе на временной или краткосрочной основе;работали на основе договора гражданско-правового характера;работали на основе трудового договора о выполнении работы на дому;работали на основе трудового договора о выполнении работы на дому с использованием сети «Интернет»  (дистанционная  работа);Общее число владельцев предприятий и индивидуально работающих, включая самозанятых.;без регистрации или оформления документов;с регистрацией предприятия в качестве юридического лица;с регистрацией предприятия в качестве инливид.предпринимател;регистрация деятельности в стадии оформления;с регистрацией в качестве самозанятого;Source
2022;1;72227,29347;3177,674207;13291,08852;12554,73942;736,3490978;11,15084945;725,1982484;18,40175352;67528,53591;63961,54273;62628,42439;1333,118347;2051,414064;1334,6864;716,7276646;1515,579108;;;;;;;;;ORS_2023
2022;2;72580,92824;3003,200822;13523,48463;12703,68423;819,800409;12,07363383;807,7267751;18,63228394;67380,82528;63848,37066;62632,80201;1215,568647;2137,875942;1425,088365;712,7875773;1394,578676;;;;;;;;;ORS_2023
2022;3;72900,35178;2926,244205;13820,88983;12959,50689;861,3829475;15,14411704;846,2388305;18,95860513;67747,58478;64350,31701;63063,79624;1286,520777;2093,061156;1386,306467;706,7546895;1304,20661;;;;;;;;;ORS_2023
2022;4;72867,17527;2846,830866;13290,47168;12436,32976;854,14192;18,0777381;836,0641819;18,23931233;67808,24439;64732,47626;63513,80063;1218,675628;1888,085521;1280,477243;607,6082775;1187,682614;;;;;;;;;ORS_2023
2023;1;72891,59435;2659,454682;12726,38634;11941,30492;785,0814219;12,63626366;772,4451582;17,45933322;68118,36275;65162,87906;64078,08335;1084,795705;1797,108515;1304,442905;492,6656096;1158,375177;;;;;;;;;ORS_2023
2023;2;73441,93999;2407,63507;13192,03903;12386,81627;805,2227565;9,797635896;795,4251206;17,9625416;68278,39588;65428,5141;64272,24943;1156,264666;1826,963681;1314,423412;512,540269;1022,9181;;;;;;;;;ORS_2023
2023;3;74092,55835;2286,400546;14179,38692;13355,56305;823,8238647;16,72808953;807,0957752;19,13739683;68704,5397;65747,39126;64446,77658;1300,614686;1883,23364;1211,76427;671,4693702;1073,914794;;;;;;;;;ORS_2023
2023;4;74118,55282;2248,677713;13677,38537;12879,97597;797,4093998;13,3463205;784,0630793;18,45338967;69046,9928;66249,84327;65031,72155;1218,121711;1486,786225;961,4500859;525,3361395;1310,363313;;;;;;;;;ORS_2023
2021;1;70827,84589;4206,208966;14184,56855;13340,87702;843,691528;17,4615602;826,2299678;20,02682472;;;;;;;;;;;;;;;;;ORS_2022
2021;2;71530,76087;3720,412703;14932,73763;14017,18399;915,5536411;11,80060261;903,7530384;20,87596643;;;;;;;;;;;;;;;;;ORS_2022
