Year;Month;Занятые;Безработные;Общее количество занятых в неформальном секторе;только в неформальном секторе;в неформальном и формальном секторах;с основной работой в неформальном секторе;с дополнительной работой в неформальном секторе;Занятые в неформальном секторе в % к общей численности занятых;Общая численность наёмных работников;работали на основе трудового договора (служебного контракта) в письменной форме ;работали на основе трудового договора (служебного контракта) в письменной форме постоянного ;работали на основе трудового договора (служебного контракта) в письменной форме временного или краткосрочного ;работали на основе устной договоренности с работодателем, без оформления документов;работали на основе устной договоренности с работодателем, без оформления документов на постоянной основе;работали на основе устной договоренности с работодателем, без оформления документов на постоянной основе на временной или краткосрочной основе;работали на основе договора гражданско-правового характера;работали на основе трудового договора о выполнении работы на дому;работали на основе трудового договора о выполнении работы на дому с использованием сети «Интернет»  (дистанционная  работа);Общее число владельцев предприятий и индивидуально работающих, включая самозанятых.;без регистрации или оформления документов;с регистрацией предприятия в качестве юридического лица;с регистрацией предприятия в качестве инливид.предпринимател;регистрация деятельности в стадии оформления;с регистрацией в качестве самозанятого;Source
2010;1;67882,16053;6730,712707; 10 897,74 ;9755,424994;1142,311578;25,36016669;1116,951411;16,05390354;63372,13684;60508,37289;57192,38832;3315,984574;2084,175157;;;749,709231;29,87956336;;2822,880062;706,1242285;297,4943683;1769,696246;49,56521976;;ors_old_2010_2016
2010;2;68196,01438;6305,837392;10104,37315;9134,381303;969,9918498;18,04175305;951,9500968;14,8166623;64033,61157;61165,71825;58075,71924;3089,999015;1988,814712;;;844,5620794;34,51652412;;2752,131225;668,520802;331,5020085;1677,433736;74,67467845;;ors_old_2010_2016
2010;3;68404,9033;6380,11283;10421,4404;9396,755003;1024,6854;15,2433813;1009,442019;15,23493185;64228,96074;61562,82802;58431,54976;3131,278255;2035,12735;;;613,6552936;17,35008363;;2580,739695;602,2923898;262,2482777;1646,603544;69,59548379;;ors_old_2010_2016
2010;4;68982,9678;6046,506712;11025,15684;9829,430372;1195,726472;14,13087499;1181,595597;15,98243334;64118,35933;61315,80925;58247,79063;3068,018629;2039,628309;;;733,8877779;29,03399299;;2890,161161;753,1604378;287,2571886;1779,047245;70,69629008;;ors_old_2010_2016
2010;5;70285,28537;5466,347601;11680,51661;10141,73731;1538,779301;18,32027109;1520,45903;16,61872261;65458,18204;62510,11121;59412,97409;3097,137119;2233,806354;;;693,7571034;20,50737136;;2754,239969;756,9969934;269,6268826;1645,908933;81,70715951;;ors_old_2010_2016
2010;6;71153,30179;5074,329729;12407,34602;10855,29779;1552,048238;19,63878594;1532,409452;17,43748458;66129,72147;63080,97065;59782,40707;3298,563582;2283,332193;;;731,4694495;33,94917457;;2720,982587;845,077916;220,6093477;1588,844316;66,451007;;ors_old_2010_2016
2010;7;71000,10101;5214,710242;13109,22322;11606,00194;1503,221281;18,6295107;1484,591771;18,46366841;65401,20955;62042,18368;59100,30975;2941,873924;2610,93864;;;730,2259321;17,86129633;;2930,517939;814,847443;257,5734879;1813,305448;44,79155907;;ors_old_2010_2016
2010;8;71256,73189;5135,47391;12930,97848;11422,33069;1508,647788;21,06464697;1487,583141;18,14702715;65589,45993;62341,66706;59412,12279;2929,544272;2525,747863;;;704,6437721;17,40123831;;2931,395779;727,7255039;278,3721966;1839,515131;85,78294767;;ors_old_2010_2016
2010;9;71259,56677;4923,902086;12723,23191;11062,63278;1660,599127;8,333567419;1652,265559;17,85477023;66154,59651;62795,71646;60102,53382;2693,182641;2610,302051;;;727,0705888;21,50741507;;2800,317934;795,8347486;242,338051;1677,718899;84,42623544;;ors_old_2010_2016
2010;10;70645,42767;5033,332121;11323,4127;10036,54265;1286,87005;23,54569658;1263,324353;16,02851461;66135,87373;63272,00368;60725,27013;2546,733549;2255,602839;;;593,847308;14,4199078;;2712,072251;764,389534;243,3813588;1661,07672;43,22463766;;ors_old_2010_2016
