Код;ОКВЭД;Корректировка валовой добавленной стоимости на экономические операции, не наблюдаемые прямыми статистическими методами (в процентах к валовой добавленной стоимости соответствующего вида экономической деятельности);корректировка валовой добавленной стоимости на теневые операции юридических лиц (в процентах к валовой добавленной стоимости соответствующего вида экономической деятельности);корректировка валовой добавленной стоимости на операции неформального сектора экономики и на производство домашних хозяйств для собственного конечного использования (в процентах к валовой добавленной стоимости соответствующего вида экономической деятельности);Корректировка валовой добавленной стоимости на экономические операции, не наблюдаемые прямыми статистическими методами, в процентах к ВВП;year;source
Валовой внутренний продукт в рыночных ценах;Валовой внутренний продукт в рыночных ценах;24,7;13;11,7;;2002;NA_2010
Валовой внутренний продукт в рыночных ценах;Валовой внутренний продукт в рыночных ценах;24,9;12,9;12;;2002;NA_2009
Валовой внутренний продукт в рыночных ценах;Валовой внутренний продукт в рыночных ценах;23,7;13,7;9,9;;2003;NA_2011
Валовой внутренний продукт в рыночных ценах;Валовой внутренний продукт в рыночных ценах;23,7;13,7;9,9;;2003;NA_2010
Валовой внутренний продукт в рыночных ценах;Валовой внутренний продукт в рыночных ценах;24;13,7;10,3;;2003;NA_2009
Валовой внутренний продукт в рыночных ценах;Валовой внутренний продукт в рыночных ценах;17,2;7,5;9,7;;2004;NA_2012
Валовой внутренний продукт в рыночных ценах;Валовой внутренний продукт в рыночных ценах;17,2;7,5;9,7;;2004;NA_2011
Валовой внутренний продукт в рыночных ценах;Валовой внутренний продукт в рыночных ценах;17,2;7,5;9,7;;2004;NA_2010
Валовой внутренний продукт в рыночных ценах;Валовой внутренний продукт в рыночных ценах;19,3;9,1;10,2;;2004;NA_2009
Валовой внутренний продукт в рыночных ценах;Валовой внутренний продукт в рыночных ценах;17,1;7,5;9,6;;2005;NA_2013
Валовой внутренний продукт в рыночных ценах;Валовой внутренний продукт в рыночных ценах;17,1;7,5;9,6;;2005;NA_2012
Валовой внутренний продукт в рыночных ценах;Валовой внутренний продукт в рыночных ценах;17,1;7,5;9,6;;2005;NA_2011
Валовой внутренний продукт в рыночных ценах;Валовой внутренний продукт в рыночных ценах;17,1;7,5;9,6;;2005;NA_2010
Валовой внутренний продукт в рыночных ценах;Валовой внутренний продукт в рыночных ценах;17,4;7,4;10;;2005;NA_2009
Валовой внутренний продукт в рыночных ценах;Валовой внутренний продукт в рыночных ценах;16,8;7,4;9,4;;2006;NA_2014
Валовой внутренний продукт в рыночных ценах;Валовой внутренний продукт в рыночных ценах;16,8;7,4;9,4;;2006;NA_2013
Валовой внутренний продукт в рыночных ценах;Валовой внутренний продукт в рыночных ценах;16,8;7,4;9,4;;2006;NA_2012
Валовой внутренний продукт в рыночных ценах;Валовой внутренний продукт в рыночных ценах;16,8;7,4;9,4;;2006;NA_2011
Валовой внутренний продукт в рыночных ценах;Валовой внутренний продукт в рыночных ценах;16,8;7,4;9,4;;2006;NA_2010
Валовой внутренний продукт в рыночных ценах;Валовой внутренний продукт в рыночных ценах;17,4;7,4;10;;2006;NA_2009
Валовой внутренний продукт в рыночных ценах;Валовой внутренний продукт в рыночных ценах;16,4;7,4;8,9;;2007;NA_2015
Валовой внутренний продукт в рыночных ценах;Валовой внутренний продукт в рыночных ценах;16,4;7,4;8,9;;2007;NA_2014
Валовой внутренний продукт в рыночных ценах;Валовой внутренний продукт в рыночных ценах;16,4;7,4;8,9;;2007;NA_2013
Валовой внутренний продукт в рыночных ценах;Валовой внутренний продукт в рыночных ценах;16,4;7,4;8,9;;2007;NA_2012
