Год;Валовой внутренний продукт в рыночных ценах;Оплата труда наемных работников;в том числе оплата труда и смешанные доходы, не наблюдаемые прямыми статистическими методами;units;source 
1995;1428522,1;647875,8;110000;млрд. руб.;CA_07_2021
1996;2007825,1;1022643,3;220000;млрд. руб.;CA_07_2021
1997;2342514;1202900,5;270000;млрд. руб.;CA_07_2021
1998;2629623;1263046,8;270000;млн. руб.;CA_07_2021
1999;4823233,5;1933606,1;525000;млн. руб.;CA_07_2021
2000;7305646,3;2937229,9;810000;млн. руб.;CA_07_2021
2001;8943582,4;3848398,3;993500;млн. руб.;CA_07_2021
2002;10830535,1;5065100,6;1249000;млн. руб.;CA_07_2021
2003;13208233,8;6231387,9;1496400;млн. руб.;CA_07_2021
2004;17027190,9;7845036,7;1995100;млн. руб.;CA_07_2021
2005;21609765,5;9474266,7;2551000;млн. руб.;CA_07_2021
2006;26917201,4;11985905,6;3450000;млн. руб.;CA_07_2021
2007;33247513,2;15526114,7;4450000;млн. руб.;CA_07_2021
2008;41276849,1;19559761;5200000;млн. руб.;CA_07_2021
2009;38807218,6;20411614,4;5790000;млн. руб.;CA_07_2021
2010;46308541,2;22995635,9;6632000;млн. руб.;CA_07_2021
2011;60114000,8;26385053,6;6128000;млн. руб.;CA_07_2021
2012;68103449,5;30187193,6;7331000;млн. руб.;CA_07_2021
2013;72985701,1;33800073,5;8433000;млн. руб.;CA_07_2021
2014;79030040,1;37438961,7;10119000;млн. руб.;CA_07_2021
2015;83087360,1;39748920,8;10717000;млн. руб.;CA_07_2021
2016;85616083,8;41237450,8;10686000;млн. руб.;CA_07_2021
2017;91843154,2;43897536,4;11420000;млн. руб.;CA_07_2021
2018;103861651,1;46415809,8;10880000;млн. руб.;CA_07_2021
2019;109241536,4;48165914,8;9800000;млн. руб.;CA_07_2021
2020;106967459,4;50345915;10350000;млн. руб.;CA_07_2021
1995;1428522,1;647875,8;110000;млрд. руб.;CA_08_2022
1996;2007825,1;1022643,3;220000;млрд. руб.;CA_08_2022
1997;2342514;1202900,5;270000;млрд. руб.;CA_08_2022
1998;2629623;1263046,8;270000;млн. руб.;CA_08_2022
1999;4823233,5;1933606,1;525000;млн. руб.;CA_08_2022
2000;7305646,3;2937229,9;810000;млн. руб.;CA_08_2022
2001;8943582,4;3848398,3;993500;млн. руб.;CA_08_2022
2002;10830535,1;5065100,6;1249000;млн. руб.;CA_08_2022
2003;13208233,8;6231387,9;1496400;млн. руб.;CA_08_2022
2004;17027190,9;7845036,7;1995100;млн. руб.;CA_08_2022
2005;21609765,5;9474266,7;2551000;млн. руб.;CA_08_2022
2006;26917201,4;11985905,6;3450000;млн. руб.;CA_08_2022
2007;33247513,2;15526114,7;4450000;млн. руб.;CA_08_2022
2008;41276849,1;19559761;5200000;млн. руб.;CA_08_2022
2009;38807218,6;20411614,4;5790000;млн. руб.;CA_08_2022
2010;46308541,2;22995635,9;6632000;млн. руб.;CA_08_2022
2011;60114000,8;26385053,6;6128000;млн. руб.;CA_08_2022
2012;68103449,5;30187193,6;7331000;млн. руб.;CA_08_2022
2013;72985701,1;33800073,5;8433000;млн. руб.;CA_08_2022
2014;79030040,1;37438961,7;10119000;млн. руб.;CA_08_2022
2015;83087360,1;39748920,8;10717000;млн. руб.;CA_08_2022
2016;85616083,8;41237450,8;10686000;млн. руб.;CA_08_2022
2017;91843154,2;43897536,4;11420000;млн. руб.;CA_08_2022
2018;103861651,1;46415809,8;10880000;млн. руб.;CA_08_2022
2019;109608305,8;48383047,5;10270000;млн. руб.;CA_08_2022
