Year;Общее число владельцев предприятий и индивидуально работающих, включая самозанятых.;без регистрации или оформления документов;с регистрацией предприятия в качестве юридического лица;с регистрацией предприятия в качестве инливид.предпринимател;регистрация деятельности в стадии оформления;с регистрацией в качестве самозанятого;Source
2010;2781,080249;731,8216411;269,6518641;1717,228747;62,37799777;;ors_new_2010_2012
2011;3014,187004;803,5755773;246,8865561;1901,716296;62,00857555;;ors_new_2010_2012
2012;2910,327509;736,9896184;283,3556657;1837,726934;52,25529097;;ors_new_2010_2012
2013;3148,990085;875,311115;145,3647204;2048,838377;79,47587256;;ors_new_2013_2015
2014;3210,637371;899,8891931;135,6681002;2089,339556;85,74052142;;ors_new_2013_2015
2015;3259,481365;939,0612698;117,2763021;2131,705251;71,43854241;;ors_new_2013_2015
2016;3381,853539;961,5349432;130,6664582;2215,177054;74,47508347;;ors_new_2016
2017;3399,717617;1039,793053;113,1913198;2183,897357;62,83588717;;ors_new_2017_2019
2018;3530,560742;1096,611241;101,1969642;2283,065604;49,68693255;;ors_new_2017_2019
2019;3524,142479;1164,687897;115,5806891;2187,188016;56,68587588;;ors_new_2017_2019
2020;3498,068838;1158,894868;119,5265702;2158,773341;60,87405861;;ors_new_2020_2021
2021;3609,112063;1243,892791;105,4379682;2193,651196;66,13010817;;ors_new_2020_2021
2022;3047,611169;1117,879341;116,6167954;1740,570877;72,54415585;779,2274451;ors_new_2022
2023;2973,17353;989,5149734;140,5553682;1779,667023;63,43616601;1075,88128;ors_new_2023
2010;2781,080249;731,8216411;269,6518641;1717,228747;62,37799777;;ors_old_2010_2016
2011;3014,187004;803,5755773;246,8865561;1901,716296;62,00857555;;ors_old_2010_2016
2012;2910,327509;736,9896184;283,3556657;1837,726934;52,25529097;;ors_old_2010_2016
2013;3144,058562;874,0311813;145,3573473;2045,240777;79,42925637;;ors_old_2010_2016
2014;3202,92241;898,1359746;135,4139798;2083,753981;85,61847438;;ors_old_2010_2016
2015;3251,684255;937,467919;117,3370177;2125,654629;71,2246902;;ors_old_2010_2016
2016;3367,909901;959,0052909;130,0851301;2204,571408;74,24807192;;ors_old_2010_2016
2017;3384,220095;1036,330096;113,0718729;2172,230118;62,58800826;;ors_old_2017_2019
2018;3511,178795;1092,938796;100,9137689;2267,539005;49,78722526;;ors_old_2017_2019
2019;3501,777761;1160,80224;114,9014565;2169,743725;56,33034047;;ors_old_2017_2019
2020;3472,74684;1154,688425;117,9586344;2139,795999;60,30378136;;ors_old_2020_2021
2021;3581,318751;1242,214613;104,2104309;2169,125315;65,76839241;;ors_old_2020_2021
2022;3021,872892;1114,466837;114,7570982;1721,127001;71,52195608;772,0550598;ors_old_2022
2023;2973,17353;989,5149734;140,5553682;1779,667023;63,43616601;1075,88128;ors_old_2023
