Year;Quarter;Общее число владельцев предприятий и индивидуально работающих, включая самозанятых.;без регистрации или оформления документов;с регистрацией предприятия в качестве юридического лица;с регистрацией предприятия в качестве инливид.предпринимател;регистрация деятельности в стадии оформления;с регистрацией в качестве самозанятого;Source
2010;1;2718,583661;658,9791401;297,0815515;1697,911175;64,611794;;ors_new_2010_2012
2010;2;2788,461239;785,0784491;259,164473;1671,266831;72,95148553;;ors_new_2010_2012
2010;3;2887,410551;779,4692319;259,4279118;1776,846493;71,66691406;;ors_new_2010_2012
2010;4;2729,865547;703,7597433;262,9335199;1722,890487;40,2817975;;ors_new_2010_2012
2011;1;3025,640945;827,8759424;259,5050834;1875,912976;62,34694289;;ors_new_2010_2012
2011;2;2998,368053;783,2248464;253,9198957;1890,890661;70,3326503;;ors_new_2010_2012
2011;3;3071,789657;830,4646927;247,8464487;1936,15699;57,32152605;;ors_new_2010_2012
2011;4;2960,949363;772,7368276;226,2747965;1903,904556;58,03318294;;ors_new_2010_2012
2012;1;2887,501757;695,7606477;296,419746;1843,615986;51,70537734;;ors_new_2010_2012
2012;2;2904,300157;769,5329077;280,1158547;1797,275768;57,37562703;;ors_new_2010_2012
2012;3;2902,728947;728,215907;289,1311695;1836,876523;48,50534811;;ors_new_2010_2012
2012;4;2946,779175;754,4490109;267,7558925;1873,13946;51,43481141;;ors_new_2010_2012
2013;1;2972,433322;860,4998359;132,0814738;1915,212736;64,63927696;;ors_new_2013_2015
2013;2;3097,530887;832,4882919;158,7102036;2036,068925;70,26346645;;ors_new_2013_2015
2013;3;3187,237559;929,3883737;136,4928191;2028,925929;92,43043705;;ors_new_2013_2015
2013;4;3338,758571;878,8679587;154,1743852;2215,145917;90,57030976;;ors_new_2013_2015
2014;1;3185,488963;852,2379671;125,5387335;2118,140243;89,57201931;;ors_new_2013_2015
2014;2;3339,285244;944,5835119;157,8032963;2159,950752;76,9476833;;ors_new_2013_2015
2014;3;3196,943266;936,9070428;146,4524142;2032,681794;80,9020144;;ors_new_2013_2015
2014;4;3120,832012;865,8282506;112,8779567;2046,585436;95,54036869;;ors_new_2013_2015
2015;1;3248,833226;882,7827941;116,361236;2158,333667;91,35552875;;ors_new_2013_2015
2015;2;3262,550502;965,2932772;118,3488842;2109,82015;69,08819004;;ors_new_2013_2015
2015;3;3238,818801;994,4366424;109,5547057;2065,897083;68,93037003;;ors_new_2013_2015
