Year;Общая численность наёмных работников;работали на основе трудового договора (служебного контракта) в письменной форме ;работали на основе трудового договора (служебного контракта) в письменной форме постоянного ;работали на основе трудового договора (служебного контракта) в письменной форме временного или краткосрочного ;работали на основе устной договоренности с работодателем, без оформления документов;работали на основе устной договоренности с работодателем, без оформления документов на постоянной основе;работали на основе устной договоренности с работодателем, без оформления документов на постоянной основе на временной или краткосрочной основе;работали на основе договора гражданско-правового характера;работали на основе трудового договора о выполнении работы на дому;работали на основе трудового договора о выполнении работы на дому с использованием сети «Интернет»  (дистанционная  работа);Source
2022;67616,29759;64223,17667;62959,70582;1263,47085;2042,609171;1356,639619;685,9695522;1350,511752;;;ORS_2023
2023;68537,07278;65647,15692;64457,20773;1189,949192;1748,523015;1198,020168;550,5028471;1141,392846;;;ORS_2023
2022;66988,96342;63611,52365;62345,94885;1265,574803;2042,758731;1357,156486;685,6022442;1334,681032;;;ORS_2022
2020;65832,93138;62633,21938;60925,30414;1707,915232;2245,867057;;;900,5482728;;53,29668025;ORS_2021
2021;66936,1113;63604,43007;62066,12535;1538,304722;2207,441707;;;1090,496967;;33,7425542;ORS_2021
2019;67108,96517;63601,38296;61719,74732;1881,635634;2655,107433;;;821,9944603;;30,48032179;ORS_2020
2020;65832,93138;62633,21938;60925,30414;1707,915232;2245,867057;;;900,5482728;;53,29668025;ORS_2020
2018;67577,25289;64381,19911;62280,65823;2100,540873;2558,535004;;;630,3469044;;7,1718766;ORS_2019
2019;67108,96517;63601,38296;61719,74732;1881,635634;2655,107433;;;821,9944603;;30,48032179;ORS_2019
2017;67519,7923;64262,18037;61948,27535;2313,905017;2633,142958;;;593,7098579;23,08589545;7,673224715;ORS_2018
2018;67577,25289;64353,53557;62280,36845;2073,167118;2558,535004;;;630,101071;27,37375459;7,1718766;ORS_2018
2017;67519,7923;64262,18037;61948,27535;2313,905017;2633,142958;;;593,7098579;23,08589545;7,673224715;ORS_2017
2015;67109,47455;63753,32521;61072,56066;2680,764553;2706,866437;;;616,664622;27,14188314;5,476399937;ORS_2016
2016;66968,36244;63813,53018;61346,19771;2467,33247;2513,07445;;;609,2416504;26,13162061;6,384540665;ORS_2016
2014;66378,31046;63082,95611;60443,52445;2639,431659;2655,186181;;;590,4442176;28,4048186;21,31912946;ORS_2015
2015;67109,47455;63753,32521;61072,56066;2680,764553;2706,866437;;;616,664622;27,14188314;5,476399937;ORS_2015
2013;66196,83032;62758,93946;60541,92589;2217,013573;2702,348214;;;714,8664899;20,67615178;;ORS_2014
2014;66378,31046;63082,95611;60443,52445;2639,431659;2655,186181;;;590,4442176;28,4048186;21,31912946;ORS_2014
2012;66597,82272;63300,79934;60939,64719;2361,152152;2490,041627;;;787,6932487;19,10776243;;ORS_2013
2013;66196,83032;62758,93946;60541,92589;2217,013573;2702,348214;;;714,8664899;20,67615178;;ORS_2013
2011;65827,24907;62838,04737;60341,21592;2496,831453;2312,076542;;;663,6740882;13,45107292;;ORS_2012
2012;66597,82272;63300,79934;60939,64719;2361,152152;2490,041627;;;787,6932487;19,10776243;;ORS_2012
2010;64998,263;62007,98943;59044,69094;2963,29849;2275,78584;;;693,13663;21,3511;;ORS_2011
2011;65668,94137;62633,17429;60111,18364;2521,990654;2353,991857;;;668,4947786;13,28044736;;ORS_2011
2009;64120,38618;60776,08855;57315,10658;3460,98197;2447,91259;;;875,483;20,90204;;ORS_2010
2010;64998,08407;62007,81055;59044,51195;2963,298593;2275,785769;;;693,1366666;21,35108429;;ORS_2010
2008;65774,44345;61540,08352;56531,53168;5008,55184;2775,14646;;;1459,21347;-;;ORS_2009
2009;64120,38556;60776,08873;57315,1073;3460,981426;2447,911899;;;875,482907;20,90202538;;ORS_2009
2022;67616;64223;62960;1263;2043;1357;686;1351;;;rab_sila_2024
2023;68537;65647;64457;1190;1749;1198;551;1141;;;rab_sila_2024
2008;65814;61630;56673;4957;2738;;;1446;;;rab_sila_2022
2009;64266;60982;57546;3436;2414;;;869;;;rab_sila_2022
2010;65158;62213;59284;2929;2257;;;688;;;rab_sila_2022
2011;65827;62851;60354;2497;2312;;;664;;;rab_sila_2022
2012;66598;63320;60959;2361;2490;;;788;;;rab_sila_2022
2013;66197;62780;60563;2217;2702;;;715;;;rab_sila_2022
2014;66378;63132;60493;2639;2655;;;590;;;rab_sila_2022
2015;67109;63786;61105;2681;2707;;;617;;;rab_sila_2022
