Year;Quarter;Общая численность наёмных работников;работали на основе трудового договора (служебного контракта) в письменной форме ;работали на основе трудового договора (служебного контракта) в письменной форме постоянного ;работали на основе трудового договора (служебного контракта) в письменной форме временного или краткосрочного ;работали на основе устной договоренности с работодателем, без оформления документов;работали на основе устной договоренности с работодателем, без оформления документов на постоянной основе;работали на основе устной договоренности с работодателем, без оформления документов на постоянной основе на временной или краткосрочной основе;работали на основе договора гражданско-правового характера;работали на основе трудового договора о выполнении работы на дому;работали на основе трудового договора о выполнении работы на дому с использованием сети «Интернет»  (дистанционная  работа);Source
2022;1;67528,53591;63961,54273;62628,42439;1333,118347;2051,414064;1334,6864;716,7276646;1515,579108;;;ORS_2023
2022;2;67380,82528;63848,37066;62632,80201;1215,568647;2137,875942;1425,088365;712,7875773;1394,578676;;;ORS_2023
2022;3;67747,58478;64350,31701;63063,79624;1286,520777;2093,061156;1386,306467;706,7546895;1304,20661;;;ORS_2023
2022;4;67808,24439;64732,47626;63513,80063;1218,675628;1888,085521;1280,477243;607,6082775;1187,682614;;;ORS_2023
2023;1;68118,36275;65162,87906;64078,08335;1084,795705;1797,108515;1304,442905;492,6656096;1158,375177;;;ORS_2023
2023;2;68278,39588;65428,5141;64272,24943;1156,264666;1826,963681;1314,423412;512,540269;1022,9181;;;ORS_2023
2023;3;68704,5397;65747,39126;64446,77658;1300,614686;1883,23364;1211,76427;671,4693702;1073,914794;;;ORS_2023
2023;4;69046,9928;66249,84327;65031,72155;1218,121711;1486,786225;961,4500859;525,3361395;1310,363313;;;ORS_2023
2022;1;66892,36083;63348,56898;62016,73192;1331,837055;2049,390047;1334,469181;714,9208666;1494,401807;;;ORS_2022
2022;2;66765,45036;63241,52764;62022,20179;1219,325844;2140,497262;1426,782914;713,7143483;1383,425463;;;ORS_2022
2022;3;67112,98617;63734,76963;62448,12884;1286,640787;2091,867901;1384,785609;707,0822917;1286,348645;;;ORS_2022
2022;4;67185,0563;64121,22838;62896,73285;1224,495525;1889,279712;1282,588242;606,6914703;1174,548211;;;ORS_2022
2020;1;66768,36522;63503,49662;61739,28093;1764,21569;2319,934712;;;905,595284;;39,33859579;ORS_2021
2020;2;65257,19047;62306,60962;60722,9089;1583,700722;2022,428863;;;857,9023406;;70,24964132;ORS_2021
2020;3;65420,1113;62062,54222;60278,75529;1783,786926;2360,755303;;;947,1603235;;49,65344871;ORS_2021
2020;4;65886,05856;62660,22903;60960,27144;1699,95759;2280,349349;;;891,535143;;53,94503517;ORS_2021
2021;1;66210,589;62888,13364;61190,18042;1697,953223;2142,570137;;;1147,694247;;32,19097729;ORS_2021
2021;2;66499,22571;63080,89292;61492,10356;1588,78936;2330,387215;;;1057,983014;;29,96256571;ORS_2021
2021;3;67384,44542;63960,66528;62453,65265;1507,012631;2319,721676;;;1063,417366;;40,64109749;ORS_2021
2021;4;67650,18506;64488,02845;63128,56477;1359,463676;2037,087799;;;1092,89324;;32,17557632;ORS_2021
2019;1;66778,08536;63520,98239;61770,20696;1750,775427;2504,604133;;;723,4008494;;29,09798487;ORS_2020
2019;2;66667,38754;62955,04207;61007,22129;1947,820785;2853,545993;;;827,1276015;;31,67187485;ORS_2020
2019;3;67414,25128;63809,26455;61885,45492;1923,809633;2720,159086;;;850,4803117;;34,34733536;ORS_2020
2019;4;67576,1365;64120,24281;62216,10612;1904,136692;2542,120518;;;886,9690784;;26,80409206;ORS_2020
