Year;Month;Общая численность наёмных работников;работали на основе трудового договора (служебного контракта) в письменной форме ;работали на основе трудового договора (служебного контракта) в письменной форме постоянного ;работали на основе трудового договора (служебного контракта) в письменной форме временного или краткосрочного ;работали на основе устной договоренности с работодателем, без оформления документов;работали на основе устной договоренности с работодателем, без оформления документов на постоянной основе;работали на основе устной договоренности с работодателем, без оформления документов на постоянной основе на временной или краткосрочной основе;работали на основе договора гражданско-правового характера;работали на основе трудового договора о выполнении работы на дому;работали на основе трудового договора о выполнении работы на дому с использованием сети «Интернет»  (дистанционная  работа);Source
2010;1;63372,13684;60508,37289;57192,38832;3315,984574;2084,175157;;;749,709231;29,87956336;;ors_old_2010_2016
2010;2;64033,61157;61165,71825;58075,71924;3089,999015;1988,814712;;;844,5620794;34,51652412;;ors_old_2010_2016
2010;3;64228,96074;61562,82802;58431,54976;3131,278255;2035,12735;;;613,6552936;17,35008363;;ors_old_2010_2016
2010;4;64118,35933;61315,80925;58247,79063;3068,018629;2039,628309;;;733,8877779;29,03399299;;ors_old_2010_2016
2010;5;65458,18204;62510,11121;59412,97409;3097,137119;2233,806354;;;693,7571034;20,50737136;;ors_old_2010_2016
2010;6;66129,72147;63080,97065;59782,40707;3298,563582;2283,332193;;;731,4694495;33,94917457;;ors_old_2010_2016
2010;7;65401,20955;62042,18368;59100,30975;2941,873924;2610,93864;;;730,2259321;17,86129633;;ors_old_2010_2016
2010;8;65589,45993;62341,66706;59412,12279;2929,544272;2525,747863;;;704,6437721;17,40123831;;ors_old_2010_2016
2010;9;66154,59651;62795,71646;60102,53382;2693,182641;2610,302051;;;727,0705888;21,50741507;;ors_old_2010_2016
2010;10;66135,87373;63272,00368;60725,27013;2546,733549;2255,602839;;;593,847308;14,4199078;;ors_old_2010_2016
2010;11;65970,87103;63075,1304;60517,20212;2557,928278;2321,310231;;;562,6502366;11,78016254;;ors_old_2010_2016
2010;12;65302,06208;62625,88618;60146,97036;2478,915824;2090,621225;;;573,8018293;11,75284136;;ors_old_2010_2016
2011;1;64518,38699;61551,77501;58268,99;3282,785011;2189,860429;;;764,7393854;12,0121589;;ors_old_2010_2016
2011;2;64696,643;62107,0591;59428,95215;2678,106952;1980,199554;;;595,9595622;13,42478513;;ors_old_2010_2016
2011;3;65035,92676;62214,17909;59789,11934;2425,059752;2235,667527;;;567,1678507;18,91228963;;ors_old_2010_2016
2011;4;65030,50458;62023,57417;59645,86157;2377,712601;2303,160622;;;698,7108481;5,058933333;;ors_old_2010_2016
2011;5;65970,19339;62960,71264;60432,14634;2528,566296;2245,876445;;;746,5050911;17,09920998;;ors_old_2010_2016
2011;6;66397,82775;63272,48665;60644,5696;2627,91705;2506,873389;;;602,7914135;15,6763051;;ors_old_2010_2016
2011;7;65867,65104;62780,47655;59958,86184;2821,614703;2360,933201;;;700,1606234;26,08066847;;ors_old_2010_2016
2011;8;66705,07859;63734,78589;61445,2245;2289,561396;2398,023101;;;561,08938;11,18021141;;ors_old_2010_2016
2011;9;66602,29814;63358,15732;61023,1391;2335,018227;2504,401327;;;727,0411672;12,69832543;;ors_old_2010_2016
2011;10;66054,63208;62994,96692;60801,75848;2193,208434;2368,781942;;;685,7070009;5,176219231;;ors_old_2010_2016
2011;11;66428,58709;63335,37844;61178,25055;2157,127889;2370,491649;;;712,9309621;9,786039771;;ors_old_2010_2016
2011;12;66619,25948;63723,01665;61477,71753;2245,299125;2280,649319;;;601,2857738;14,30772867;;ors_old_2010_2016
2012;1;65413,21255;62213,97731;59439,73406;2774,243252;2406,538038;;;779,7063824;12,99081931;;ors_old_2010_2016
2012;2;65479,96861;62382,90783;59892,62559;2490,28224;2376,233789;;;692,6520144;28,17497115;;ors_old_2010_2016
2012;3;65449,55157;62414,48743;59947,82437;2466,663068;2352,184607;;;671,9864478;10,89308347;;ors_old_2010_2016
2012;4;66279,72783;63191,18829;60875,1722;2316,01609;2294,128654;;;766,3521117;28,05877954;;ors_old_2010_2016
2012;5;67174,89252;63807,71988;61351,89144;2455,82844;2441,058044;;;903,0882564;23,02633529;;ors_old_2010_2016
2012;6;67354,95355;64120,94669;61399,61424;2721,332445;2405,869279;;;819,6655224;8,472059728;;ors_old_2010_2016
2012;7;66735,53803;63354,59357;61131,82068;2222,772887;2636,5957;;;726,7178919;17,63086958;;ors_old_2010_2016
2012;8;67468,73643;63597,50956;61381,86615;2215,64341;2925,327688;;;940,3413301;5,557853175;;ors_old_2010_2016
